AVG,game,long_hit,name,spawn,team
,,,,,
,,,,,
.329,135,.547,森　友哉,.413,(西)
.322,143,.543,吉田　正尚,.413,(オ)
.315,125,.470,荻野　貴司,.371,(ロ)
.304,141,.382,銀次,.370,(楽)
.303,143,.471,秋山　翔吾,.392,(西)
.302,138,.400,近藤　健介,.422,(日)
.289,132,.451,大田　泰示,.325,(日)
.288,140,.454,鈴木　大地,.373,(ロ)
.288,142,.385,西川　遥輝,.393,(日)
.287,133,.407,島内　宏明,.372,(楽)
.286,135,.528,中村　剛也,.359,(西)
.282,141,.421,茂木　栄五郎,.358,(楽)
.274,135,.350,源田　壮亮,.324,(西)
.274,143,.493,外崎　修汰,.353,(西)
.263,143,.507,浅村　栄斗,.372,(楽)
.262,132,.385,渡邉　諒,.333,(日)
.261,128,.540,ブラッシュ,.397,(楽)
.260,143,.483,松田　宣浩,.305,(ソ)
.260,137,.387,甲斐　拓也,.346,(ソ)
.259,130,.520,デスパイネ,.355,(ソ)
.256,137,.370,内川　聖一,.296,(ソ)
.256,143,.540,山川　穂高,.372,(西)
.252,123,.355,栗山　巧,.333,(西)
.252,129,.462,井上　晴哉,.362,(ロ)
.251,133,.292,金子　侑司,.324,(西)
.250,135,.309,福田　周平,.342,(オ)
.248,139,.483,レアード,.333,(ロ)
.243,117,.418,ウィーラー,.320,(楽)
.242,124,.449,中田　翔,.329,(日)
.232,143,.375,中村　奨吾,.317,(ロ)
