bat,day,height,name,number,pit,weight
,,,,,,
,1974.10.03,,,80,,
,,,,,,
左,1995.11.29,170,東 克樹,11,左,78
左,1999.08.15,186,阪口 皓亮,12,右,81
左,1993.03.01,180,石田 健大,14,左,85
右,1986.05.01,188,井納 翔一,15,右,94
右,1994.02.03,181,大貫 晋一,16,右,73
左右,1990.05.07,176,三嶋 一輝,17,右,80
左,1993.09.01,177,今永 昇太,21,左,82
左,1993.10.19,178,熊原 健人,22,右,85
右,1994.01.07,176,齋藤 俊介,24,右,85
右,1996.08.31,181,上茶谷 大河,27,右,83
左,2000.05.22,180,勝又 温史,28,右,80
左,1996.10.11,188,飯塚 悟史,30,右,90
右,1989.08.29,182,平田 真吾,34,右,80
右,1989.04.10,190,三上 朋也,35,右,90
左,1999.06.25,178,櫻井 周斗,41,左,80
右,1988.10.11,185,バリオス,42,右,85
右,1992.07.16,186,進藤 拓也,43,右,90
右,1997.04.25,189,綾部 翔,45,右,100
左,1989.09.18,179,田中 健二朗,46,左,80
左,1995.07.20,180,砂田 毅樹,47,左,85
右,1998.07.04,182,京山 将弥,48,右,77
右,1990.11.14,180,赤間 謙,49,右,87
右,1988.02.20,185,パットン,53,右,91
右,1992.01.05,175,寺田 光輝,54,右,76
左,1993.02.27,185,濱矢 廣大,56,左,78
右,1989.06.14,178,武藤 祐太,58,右,85
右,1995.07.12,180,平良 拳太郎,59,右,80
左,1992.04.22,188,エスコバー,62,左,102
右,1991.09.24,196,国吉 佑樹,65,右,103
左,1993.10.20,180,古村 徹,67,左,80
左,1985.03.12,177,藤岡 好明,68,右,81
左,1989.09.17,182,中後 悠平,91,左,78
右,1992.11.20,185,田村 丈,92,右,89
右,1999.10.02,178,中川 虎大,93,右,79
右,1994.08.07,179,笠井 崇正,94,右,90
右,1988.08.10,196,ソリス,97,左,114
,,,,,,
左,1990.04.11,179,戸柱 恭孝,10,右,90
右,1989.04.23,180,伊藤 光,29,右,83
右,2000.12.27,176,益子 京右,32,右,87
右,1991.06.04,175,嶺井 博希,39,右,85
右,1998.09.11,180,山本 祐大,50,右,82
左右,1987.12.29,182,西森 将司,66,右,80
,,,,,,
右,1989.11.27,183,中井 大介,0,右,88
右,1983.11.24,183,ロペス,2,右,103
右,1996.08.30,182,伊藤 裕季也,4,右,96
左,1991.01.07,180,倉本 寿彦,5,右,82
左,1986.07.10,183,石川 雄洋,7,右,78
右,1987.11.05,177,大和,9,右,70
右,1998.04.05,174,大河,23,右,75
左,1993.12.16,167,柴田 竜拓,31,右,68
右,1994.07.31,180,狩野 行寿,36,右,80
左,1993.01.31,173,山下 幸輝,38,右,80
右,1991.03.17,181,飛雄馬,40,右,88
左,1994.11.28,178,佐野 恵太,44,右,84
右,1999.02.16,182,知野 直人,60,右,83
右,1990.06.08,186,中川 大志,61,右,95
左,1997.03.11,175,百瀬 大騎,64,右,70
右,1989.02.28,185,ソト,99,右,97
,,,,,,
左,1996.07.24,178,宮本 秀明,00,右,83
右,1993.07.21,174,桑原 将志,1,右,78
左,1988.08.28,180,梶谷 隆幸,3,右,85
左,1994.01.17,179,神里 和毅,8,右,81
左,1991.11.26,185,筒香 嘉智,25,右,97
左,1994.01.06,182,乙坂 智,33,右,83
左,1995.07.07,180,楠本 泰史,37,右,77
右,1998.08.04,179,細川 成也,52,右,86
右,1997.05.19,182,青柳 昴樹,57,右,86
左,1995.06.28,173,関根 大気,63,左,75
